env,config,seed,episode,steps_in_episode,reward_env,success
Foundational,Shaped DQN,21,136,6,19.400000000000002,True
Foundational,Shaped DQN,21,137,6,19.400000000000002,True
Foundational,Shaped DQN,21,138,6,19.400000000000002,True
Foundational,Shaped DQN,21,139,8,19.200000000000003,True
Foundational,Shaped DQN,21,140,6,19.400000000000002,True
Foundational,Shaped DQN,21,141,6,19.400000000000002,True
Foundational,Shaped DQN,21,142,6,19.400000000000002,True
Foundational,Shaped DQN,21,143,6,19.400000000000002,True
Foundational,Shaped DQN,21,144,6,19.400000000000002,True
Foundational,Shaped DQN,21,145,15,8.500000000000004,False
Foundational,Shaped DQN,21,146,6,19.400000000000002,True
Foundational,Shaped DQN,21,147,6,19.400000000000002,True
Foundational,Shaped DQN,21,148,7,19.3,True
Foundational,Shaped DQN,21,149,6,19.400000000000002,True
Foundational,Shaped DQN,21,150,7,19.3,True
Foundational,Shaped DQN,21,151,9,9.100000000000003,True
Foundational,Shaped DQN,21,152,6,19.400000000000002,True
Foundational,Shaped DQN,21,153,6,19.400000000000002,True
Foundational,Shaped DQN,21,154,6,19.400000000000002,True
Foundational,Shaped DQN,21,155,6,19.400000000000002,True
Foundational,Shaped DQN,21,156,7,19.3,True
Foundational,Shaped DQN,21,157,8,19.200000000000003,True
Foundational,Shaped DQN,21,158,9,19.1,True
Foundational,Shaped DQN,21,159,8,19.200000000000003,True
Foundational,Shaped DQN,21,160,6,19.400000000000002,True
Foundational,Shaped DQN,21,161,7,19.3,True
Foundational,Shaped DQN,21,162,6,19.400000000000002,True
Foundational,Shaped DQN,21,163,7,19.3,True
Foundational,Shaped DQN,21,164,8,19.200000000000003,True
Foundational,Shaped DQN,21,165,6,19.400000000000002,True
Foundational,Shaped DQN,21,166,6,19.400000000000002,True
Foundational,Shaped DQN,21,167,6,19.400000000000002,True
Foundational,Shaped DQN,21,168,6,19.400000000000002,True
Foundational,Shaped DQN,21,169,8,19.200000000000003,True
Foundational,Shaped DQN,21,170,7,19.3,True
Foundational,Shaped DQN,21,171,6,19.400000000000002,True
Foundational,Shaped DQN,21,172,6,19.400000000000002,True
Foundational,Shaped DQN,21,173,6,19.400000000000002,True
Foundational,Shaped DQN,21,174,6,19.400000000000002,True
Foundational,Shaped DQN,21,175,6,19.400000000000002,True
Foundational,Shaped DQN,21,176,7,19.3,True
Foundational,Shaped DQN,21,177,7,19.3,True
Foundational,Shaped DQN,21,178,6,19.400000000000002,True
Foundational,Shaped DQN,21,179,7,19.3,True
Foundational,Shaped DQN,21,180,7,19.3,True
Foundational,Shaped DQN,21,181,6,19.400000000000002,True
Foundational,Shaped DQN,21,182,6,19.400000000000002,True
Foundational,Shaped DQN,21,183,6,19.400000000000002,True
Foundational,Shaped DQN,21,184,7,19.3,True
Foundational,Shaped DQN,21,185,6,19.400000000000002,True
Foundational,Shaped DQN,21,186,6,19.400000000000002,True
Foundational,Shaped DQN,21,187,8,19.200000000000003,True
Foundational,Shaped DQN,21,188,6,19.400000000000002,True
Foundational,Shaped DQN,21,189,7,19.3,True
Foundational,Shaped DQN,21,190,7,19.300000000000004,True
Foundational,Shaped DQN,21,191,7,19.300000000000004,True
Foundational,Shaped DQN,21,192,6,19.400000000000002,True
Foundational,Shaped DQN,21,193,6,19.400000000000002,True
Foundational,Shaped DQN,21,194,6,19.400000000000002,True
Foundational,Shaped DQN,21,195,8,19.200000000000003,True
Foundational,Shaped DQN,21,196,6,19.400000000000002,True
Foundational,Shaped DQN,21,197,7,19.3,True
Foundational,Shaped DQN,21,198,9,19.1,True
Foundational,Shaped DQN,21,199,7,19.300000000000004,True
Foundational,Shaped DQN,21,200,6,19.400000000000002,True
Foundational,Shaped DQN,27,1,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,2,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,3,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,4,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,5,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,6,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,7,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,8,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,9,15,-11.499999999999996,False
Foundational,Shaped DQN,27,10,15,8.500000000000004,False
Foundational,Shaped DQN,27,11,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,12,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,13,15,-1.4999999999999973,False
Foundational,Shaped DQN,27,14,15,8.5,False
Foundational,Shaped DQN,27,15,15,8.500000000000004,False
Foundational,Shaped DQN,27,16,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,17,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,18,15,8.500000000000004,False
Foundational,Shaped DQN,27,19,15,8.500000000000004,False
Foundational,Shaped DQN,27,20,15,8.500000000000004,False
Foundational,Shaped DQN,27,21,15,8.500000000000004,False
